Meter Name;Lämmönkulutus;Kaukolämpö
Date;Value
2019-01-15 07:45:40;28613.43
2019-01-14 04:51:21;28598.62
2019-01-13 04:07:52;28586.34
2019-01-12 04:02:05;28574.25
2019-01-11 05:11:09;28563.31
2019-01-10 05:26:27;28550.75
2019-01-09 05:22:38;28537.58
2019-01-08 05:09:02;28524.93
2019-01-07 05:17:29;28512.76
2019-01-06 08:33:00;28503.11
2019-01-05 04:07:06;28488.58
2019-01-04 04:53:54;28476.28
2019-01-03 04:27:32;28462.16
2019-01-02 04:39:32;28448.72
2018-12-31 05:16:03;28428.00
2018-12-30 04:15:43;28415.29
2018-12-29 06:01:30;28404.72
2018-12-28 05:09:50;28392.06
2018-12-27 07:30:26;28381.57
2018-12-27 05:09:03;28380.51
2018-12-26 08:51:12;28371.36
2018-12-23 07:52:40;28337.83
2018-12-22 04:00:09;28322.94
2018-12-21 05:11:41;28310.07
2018-12-20 05:02:10;28297.90
2018-12-19 05:10:20;28285.72
2018-12-18 05:10:16;28273.83
2018-12-17 05:17:39;28262.03
2018-12-15 04:45:45;28237.27
2018-12-14 04:34:56;28224.23
2018-12-13 05:26:42;28212.60
2018-12-12 04:54:14;28200.41
2018-12-11 04:50:48;28189.11
2018-12-10 05:15:58;28178.55
2018-12-09 04:20:51;28168.35
2018-12-08 04:51:10;28158.30
2018-12-07 04:41:26;28146.42
2018-12-06 09:56:56;28138.43
2018-12-05 12:25:11;28129.33
2018-12-05 06:50:33;28125.07
2018-12-04 06:52:31;28114.60
2018-12-03 06:42:57;28102.70
2018-12-02 06:07:22;28091.58
2018-12-01 06:41:53;28081.25
2018-11-30 06:54:59;28070.96
2018-11-29 06:17:21;28059.84
2018-11-28 06:59:58;28047.38
2018-11-27 06:57:58;28034.57
2018-11-26 07:07:29;28022.44
2018-11-24 06:01:51;27999.21
2018-11-23 08:52:49;27989.45
2018-11-22 06:58:33;27976.97
2018-11-21 06:47:28;27964.94
2018-11-20 06:42:23;27953.69
2018-11-19 07:08:09;27942.04
2018-11-18 06:49:57;27931.35
2018-11-17 06:09:54;27922.39
2018-11-16 07:01:07;27914.40
2018-11-15 06:54:00;27906.65
2018-11-14 06:36:05;27898.21
2018-11-13 06:54:10;27890.07
2018-11-12 06:56:00;27881.54
2018-11-11 06:27:54;27873.12
2018-11-10 06:09:09;27864.14
2018-11-09 07:07:49;27855.36
2018-11-08 07:15:37;27847.31
2018-11-07 07:04:11;27839.42
2018-11-06 07:07:41;27831.15
2018-11-05 06:35:21;27822.90
2018-11-04 06:18:10;27815.57
2018-11-03 06:08:18;27808.35
2018-11-02 06:51:37;27800.64
2018-11-01 07:20:46;27792.68
2018-10-31 06:48:12;27784.24
2018-10-30 06:47:42;27773.44
2018-10-29 07:15:34;27762.00
2018-10-28 09:57:32;27753.02
2018-10-27 06:04:24;27740.52
2018-10-26 07:07:52;27729.84
2018-10-25 14:12:47;27723.40
2018-10-24 07:02:58;27711.52
2018-10-21 06:38:40;27690.79
2018-10-20 06:04:44;27682.55
2018-10-19 07:07:10;27674.28
2018-10-18 08:17:23;27667.53
2018-10-17 07:26:39;27661.18
2018-10-16 07:26:06;27654.00
2018-10-15 10:13:33;27649.15
2018-10-14 09:28:01;27643.59
2018-10-13 06:18:56;27637.01
2018-10-12 06:51:59;27631.41
2018-10-11 07:20:10;27625.76
2018-10-10 06:47:19;27619.16
2018-10-09 06:16:30;27612.10
2018-10-08 07:07:29;27604.23
2018-10-07 06:48:53;27596.11
2018-10-06 09:22:48;27590.25
2018-10-05 07:28:06;27582.59
2018-10-04 10:33:04;27575.32
2018-10-03 07:04:52;27565.27
2018-10-02 11:25:18;27559.75
2018-10-01 06:52:08;27550.03
2018-09-30 07:21:16;27543.36
2018-09-29 06:08:19;27535.63
2018-09-28 07:09:27;27527.88
2018-09-27 12:08:56;27522.88
2018-09-26 07:07:49;27514.34
2018-09-25 07:26:55;27508.15
2018-09-24 07:10:13;27500.62
2018-09-23 07:03:38;27494.32
2018-09-22 06:00:25;27488.36
2018-09-21 06:53:45;27482.90
2018-09-20 07:03:49;27478.16
2018-09-19 06:41:47;27473.09
2018-09-18 06:48:00;27466.99
2018-09-17 07:09:37;27461.24
2018-09-16 09:45:34;27456.01
2018-09-15 06:29:38;27448.39
2018-09-14 07:18:32;27442.66
2018-09-13 10:01:02;27437.98
2018-09-12 07:12:29;27432.21
2018-09-11 09:19:40;27427.40
2018-09-10 07:10:20;27422.29
2018-09-09 06:10:24;27417.97
2018-09-08 05:58:29;27414.08
2018-09-07 07:07:58;27410.11
2018-09-05 07:09:21;27401.51
2018-09-04 07:19:12;27396.97
2018-09-03 07:25:09;27392.58
2018-09-02 07:33:12;27388.21
2018-09-01 06:03:03;27383.71
2018-08-31 06:51:55;27379.32
2018-08-30 06:26:01;27374.98
2018-08-29 06:49:44;27370.37
2018-08-28 06:46:07;27365.45
2018-08-27 07:08:46;27360.58
2018-08-26 06:57:12;27355.07
2018-08-25 06:08:15;27348.47
2018-08-24 06:59:45;27343.94
2018-08-22 08:32:41;27333.52
2018-08-21 07:04:48;27325.84
2018-08-20 07:01:01;27319.11
2018-08-17 07:30:52;27303.12
2018-08-16 07:45:24;27299.64
2018-08-15 08:23:14;27295.13
2018-08-14 07:34:31;27290.31
2018-08-13 07:30:14;27285.37
2018-08-10 07:29:25;27276.33
2018-08-09 09:10:08;27275.05
2018-08-08 07:20:08;27272.93
2018-08-07 07:32:57;27270.07
2018-08-06 07:32:27;27266.72
2018-08-03 07:29:21;27263.38
2018-08-02 07:35:23;27263.00
2018-08-01 07:20:00;27262.51
2018-07-31 07:19:33;27261.35
2018-07-30 07:40:58;27260.82
2018-06-13 07:37:15;27173.46
2018-06-12 06:57:29;27171.20
2018-06-08 07:37:01;27162.62
2018-06-07 07:33:39;27159.41
2018-06-06 07:48:01;27155.64
2018-06-05 07:35:37;27151.69
2018-06-04 11:10:57;27149.22
2018-06-01 08:07:18;27143.00
2018-05-31 07:25:57;27141.67
2018-05-29 07:46:34;27139.91
2018-05-28 07:16:25;27139.26
2018-05-27 06:16:16;27134.98
2018-05-26 06:06:01;27130.98
2018-05-25 07:23:22;27126.79
2018-05-24 08:57:54;27122.40
2018-05-23 07:21:00;27117.44
2018-05-22 07:15:11;27113.03
2018-05-21 07:16:41;27108.64
2018-05-20 06:25:06;27104.36
2018-05-19 07:34:17;27099.48
2018-05-18 07:50:48;27094.09
2018-05-17 08:15:46;27089.88
2018-05-16 10:47:02;27086.67
2018-05-15 07:02:53;27081.87
2018-05-14 07:18:27;27077.50
2018-05-13 06:50:47;27073.90
2018-05-12 06:06:34;27069.50
2018-05-11 06:58:50;27064.67
2018-05-10 10:03:56;27061.09
2018-05-09 10:30:47;27056.10
2018-05-08 07:35:05;27050.00
2018-05-07 06:54:06;27044.04
2018-05-06 05:51:04;27038.41
2018-05-05 05:53:57;27032.25
2018-05-04 07:44:19;27024.04
2018-05-03 08:44:41;27017.66
2018-05-02 08:17:16;27008.51
2018-04-30 07:03:58;26994.82
2018-04-29 10:42:03;26988.78
2018-04-28 06:46:10;26981.15
2018-04-27 06:41:11;26973.39
2018-04-26 07:26:07;26966.25
2018-04-25 06:47:16;26957.89
2018-04-24 06:17:58;26948.64
2018-04-23 07:09:52;26940.70
2018-04-22 06:15:48;26933.03
2018-04-21 07:25:40;26926.63
2018-04-20 07:28:58;26919.51
2018-04-19 10:38:24;26912.94
2018-04-18 07:25:00;26904.51
2018-04-17 09:42:10;26895.75
2018-04-16 07:04:00;26885.66
2018-04-15 05:59:28;26878.40
2018-04-14 06:05:18;26871.36
2018-04-13 07:17:49;26863.74
2018-04-12 09:12:32;26855.97
2018-04-11 07:19:13;26846.36
2018-04-10 07:00:15;26837.40
2018-04-09 07:26:28;26827.46
2018-04-08 12:18:33;26821.95
2018-04-07 06:42:12;26810.63
2018-04-06 07:23:33;26800.02
2018-04-05 06:54:23;26790.29
2018-04-04 07:24:22;26780.42
2018-04-03 07:09:16;26770.38
2018-04-02 10:48:42;26761.63
2018-04-01 09:39:40;26752.41
2018-03-31 09:12:29;26743.05
2018-03-30 10:30:55;26733.81
2018-03-29 09:30:16;26723.67
2018-03-28 07:24:04;26712.19
2018-03-27 07:31:53;26701.20
2018-03-26 06:48:02;26689.32
2018-03-25 05:54:38;26679.90
2018-03-24 05:57:52;26669.85
2018-03-23 07:28:07;26659.49
2018-03-22 07:01:48;26649.03
2018-03-21 07:09:32;26637.50
2018-03-20 07:09:03;26625.96
2018-03-19 07:15:40;26615.12
2018-03-18 07:05:50;26605.45
2018-03-17 06:55:24;26594.54
2018-03-15 06:58:02;26570.72
2018-03-14 07:27:40;26559.14
2018-03-13 06:42:44;26547.39
2018-03-12 06:51:05;26535.83
2018-03-11 06:35:14;26525.48
2018-03-10 06:04:04;26514.96
2018-03-09 07:18:25;26504.00
2018-03-08 10:53:53;26494.00
2018-03-07 07:40:06;26480.43
2018-03-06 07:32:53;26467.91
2018-03-05 07:00:58;26455.11
2018-03-04 06:46:21;26443.41
2018-03-03 06:00:55;26430.61
2018-03-02 07:12:12;26418.56
2018-03-01 08:59:49;26406.48
2018-02-28 07:12:37;26391.69
2018-02-27 07:06:45;26377.71
2018-02-26 07:21:27;26364.24
2018-02-25 09:56:35;26353.17
2018-02-24 06:00:59;26338.42
2018-02-23 06:59:27;26325.44
2018-02-22 06:44:35;26312.26
2018-02-21 06:55:46;26298.69
2018-02-20 06:57:38;26285.16
2018-02-19 10:12:30;26272.16
2018-02-18 07:24:20;26261.24
2018-02-17 06:30:43;26249.24
2018-02-16 07:24:11;26237.56
2018-02-15 09:36:59;26227.30
2018-02-14 07:05:25;26215.51
2018-02-13 12:26:29;26207.09
2018-02-12 06:53:53;26192.38
2018-02-11 05:46:07;26180.81
2018-02-10 05:51:46;26169.68
2018-02-09 10:14:50;26159.88
2018-02-08 09:53:15;26147.75
2018-02-07 08:45:17;26134.64
2018-02-06 07:17:29;26120.26
2018-02-05 07:19:37;26107.08
2018-02-04 10:55:21;26096.25
