Meter Name;Sähkönkulutus;Pääsähkömittari
Date;Value
2019-01-15 07:46:54;11506126
2019-01-14 04:49:37;11500156
2019-01-13 04:05:46;11495414
2019-01-12 04:00:34;11490749
2019-01-11 05:10:03;11485608
2019-01-10 05:25:18;11480276
2019-01-09 05:21:32;11475043
2019-01-08 05:09:52;11469546
2019-01-07 05:18:28;11464029
2019-01-06 08:34:07;11460068
2019-01-05 04:08:55;11454594
2019-01-04 04:52:37;11449505
2019-01-03 04:26:17;11444432
2019-01-02 04:38:05;11439803
2018-12-31 05:15:01;11432680
2018-12-30 04:14:38;11428226
2018-12-29 06:00:29;11424021
2018-12-28 05:08:45;11418292
2018-12-27 07:28:44;11413164
2018-12-27 05:07:57;11412700
2018-12-26 08:50:08;11409100
2018-12-23 07:51:16;11400078
2018-12-22 03:58:39;11395598
2018-12-21 05:10:47;11391171
2018-12-20 05:01:06;11386078
2018-12-19 05:09:17;11380974
2018-12-18 05:08:52;11375606
2018-12-17 05:18:36;11370215
2018-12-15 04:47:12;11360919
2018-12-14 04:33:16;11355602
2018-12-13 05:25:12;11350397
2018-12-12 04:52:27;11345137
2018-12-11 04:49:10;11339755
2018-12-10 05:14:51;11334431
2018-12-09 04:19:46;11329558
2018-12-08 04:50:07;11325110
2018-12-07 04:39:41;11319793
2018-12-06 09:58:04;11316511
2018-12-05 12:23:19;11312400
2018-12-05 06:48:59;11310288
2018-12-04 06:51:12;11305030
2018-12-03 06:41:22;11299626
2018-12-02 06:08:28;11294966
2018-12-01 06:40:01;11290460
2018-11-30 06:56:17;11285078
2018-11-29 06:15:54;11279539
2018-11-28 06:58:27;11274838
2018-11-27 06:56:27;11269930
2018-11-26 07:08:40;11264789
2018-11-25 05:51:40;11260251
2018-11-24 06:00:17;11256011
2018-11-23 08:51:22;11251576
2018-11-22 06:57:08;11245778
2018-11-21 06:45:55;11240649
2018-11-20 06:41:05;11235303
2018-11-19 07:06:51;11230117
2018-11-18 06:48:52;11225578
2018-11-17 06:09:00;11221201
2018-11-16 06:59:25;11216617
2018-11-15 06:52:35;11211812
2018-11-14 06:34:46;11207102
2018-11-13 06:55:07;11202249
2018-11-12 06:54:33;11197378
2018-11-11 06:26:29;11192954
2018-11-10 06:07:48;11188496
2018-11-09 07:06:49;11183803
2018-11-08 07:14:39;11178946
2018-11-07 07:02:57;11174262
2018-11-06 07:06:47;11169342
2018-11-05 06:36:30;11164465
2018-11-04 06:20:06;11160335
2018-11-03 06:09:26;11156388
2018-11-02 06:50:24;11151547
2018-11-01 07:19:25;11146644
2018-10-31 06:46:48;11141700
2018-10-30 06:46:19;11136305
2018-10-29 07:14:40;11131133
2018-10-28 09:56:36;11127392
2018-10-27 06:03:27;11122407
2018-10-26 07:06:52;11117421
2018-10-25 14:13:47;11113865
2018-10-24 07:03:51;11106876
2018-10-21 06:37:17;11097172
2018-10-20 06:03:05;11092867
2018-10-19 07:06:09;11088283
2018-10-18 08:16:30;11083545
