Meter Name;Vedenkulutus;Päävesimittari
Date;Value
2019-01-15 07:45:01;253936
2019-01-14 04:50:43;253789
2019-01-13 04:07:21;253700
2019-01-12 04:01:35;253608
2019-01-11 05:10:45;253487
2019-01-10 05:25:56;253400
2019-01-09 05:22:23;253276
2019-01-08 05:08:45;253148
2019-01-07 05:17:06;253011
2019-01-06 08:32:32;252930
2019-01-05 04:06:40;252838
2019-01-04 04:53:30;252707
2019-01-03 04:27:06;252609
2019-01-02 04:39:00;252478
2018-12-31 05:15:48;252387
2018-12-30 04:15:20;252277
2018-12-29 06:01:15;252189
2018-12-28 05:09:32;252042
2018-12-27 05:08:48;251933
2018-12-26 08:50:51;251869
2018-12-23 07:52:14;251809
2018-12-22 03:59:37;251740
2018-12-21 05:11:27;251648
2018-12-20 05:01:51;251583
2018-12-19 05:10:05;251471
2018-12-18 05:10:02;251353
2018-12-17 05:17:19;251235
2018-12-15 04:45:20;251067
2018-12-14 04:34:18;250952
2018-12-13 05:26:09;250857
2018-12-12 04:53:31;250738
2018-12-11 04:50:08;250608
2018-12-10 05:15:45;250480
2018-12-09 04:20:32;250375
2018-12-08 04:50:52;250290
2018-12-07 04:41:03;250157
2018-12-06 09:56:23;250120
2018-12-05 12:24:26;250048
2018-12-05 06:50:12;249992
2018-12-04 06:52:07;249869
2018-12-03 06:42:21;249733
2018-12-02 06:07:06;249651
2018-12-01 06:41:11;249570
2018-11-30 06:54:41;249445
2018-11-29 06:16:54;249354
2018-11-28 06:59:35;249229
2018-11-27 06:57:33;249106
2018-11-26 07:06:49;248974
2018-11-25 05:52:58;248893
2018-11-24 06:01:20;248807
2018-11-23 08:52:22;248697
2018-11-22 06:58:03;248586
2018-11-21 06:46:52;248453
2018-11-20 06:41:56;248318
2018-11-19 07:07:55;248186
2018-11-18 06:49:42;248082
2018-11-17 06:09:39;247996
2018-11-16 07:00:45;247870
2018-11-15 06:53:37;247775
2018-11-14 06:35:41;247639
2018-11-13 06:53:19;247505
2018-11-12 06:55:28;247373
2018-11-11 06:27:27;247297
2018-11-10 06:08:43;247201
2018-11-09 07:07:30;247077
2018-11-08 07:15:22;246968
2018-11-07 07:03:50;246831
2018-11-06 07:07:26;246684
2018-11-05 06:34:45;246541
2018-11-04 06:17:01;246470
2018-11-03 06:07:49;246402
2018-11-02 06:51:15;246279
2018-11-01 07:20:18;246186
2018-10-31 06:47:42;246059
2018-10-30 06:47:13;245926
2018-10-29 07:15:20;245798
2018-10-28 09:57:18;245702
2018-10-27 06:04:10;245618
2018-10-26 07:07:38;245487
2018-10-25 14:12:31;245424
2018-10-24 07:02:37;245244
2018-10-21 06:38:14;245148
2018-10-20 06:04:00;245059
2018-10-19 07:06:53;244937
